City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
507,juba,4.8517,31.5825,84.24,19,12,4.65,SS,1675878645
508,nevsehir,38.9167,34.6667,20.41,74,75,3.44,TR,1675878645
509,richards bay,-28.783,32.0377,74.19,93,97,10.0,ZA,1675878646
510,camara de lobos,32.6333,-16.9667,63.23,76,75,10.36,PT,1675878646
511,yashkul,46.1711,45.3435,13.95,93,85,8.55,RU,1675878647
512,george,-33.963,22.4617,67.55,77,20,17.27,ZA,1675878647
513,santa maria do suacui,-18.1903,-42.4142,83.43,60,88,4.7,BR,1675878648
514,alcudia,39.8532,3.1214,52.2,66,97,12.77,ES,1675878648
515,annau,37.8876,58.516,45.9,81,100,9.22,TM,1675878649
516,zhezkazgan,47.8043,67.7144,8.56,95,100,14.63,KZ,1675878649
517,vila velha,-20.3297,-40.2925,87.75,71,40,16.11,BR,1675878649
518,boguchar,49.9358,40.545,6.71,97,22,3.6,RU,1675878651
519,rio grande,-32.035,-52.0986,95.11,52,5,13.42,BR,1675878651
520,yulara,-25.2406,130.9889,82.26,38,1,7.27,AU,1675878652
521,paka,4.6374,103.4368,76.93,94,51,3.44,MY,1675878652
522,witu,-2.3889,40.4382,78.96,85,23,11.92,KE,1675878653
523,nizhnyaya poyma,56.1622,97.1933,6.76,99,100,2.19,RU,1675878653
524,gravdal,68.1214,13.5031,42.69,93,100,46.04,NO,1675878569
525,kokkola,63.8385,23.1307,35.04,94,100,20.71,FI,1675878654
526,linares,-35.85,-71.6,96.1,10,0,6.46,CL,1675878490
527,panacan,9.2463,118.4082,76.44,84,95,8.79,PH,1675878654
528,agboville,5.928,-4.2132,79.99,74,79,6.29,CI,1675878655
529,barra dos coqueiros,-10.9089,-37.0386,86.02,54,20,11.5,BR,1675878502
530,ous,60.9058,61.5186,5.47,92,58,5.35,RU,1675878655
531,lewisporte,49.2499,-55.0482,29.91,90,97,7.74,CA,1675878656
532,oriximina,-1.7656,-55.8661,89.24,54,72,3.71,BR,1675878656
533,fort saint james,54.4333,-124.25,21.24,89,61,1.79,CA,1675878657
534,santa lucia,27.9117,-15.5407,57.94,63,75,8.05,ES,1675878657
535,gold coast,-28.0,153.4333,75.99,81,75,6.91,AU,1675878658
536,havelock,34.8791,-76.9013,71.55,53,0,11.5,US,1675878658
537,nyurba,63.2842,118.3319,-52.65,100,64,1.9,RU,1675878658
538,bilibino,68.0546,166.4372,-43.73,100,99,1.52,RU,1675878659
539,ust-maya,60.4167,134.5333,-40.0,100,100,0.89,RU,1675878659
540,xinyu,27.8043,114.9334,49.39,98,100,4.88,CN,1675878660
541,solnechnyy,50.7214,136.6319,-18.36,98,96,2.98,RU,1675878660
542,karratha,-20.7377,116.8463,86.0,65,34,4.41,AU,1675878660
543,bilma,18.6853,12.9164,75.27,14,91,7.58,NE,1675878661
544,northam,51.0333,-4.2167,44.26,84,30,8.86,GB,1675878661
545,dwarka,22.2394,68.9678,71.69,61,0,8.88,IN,1675878661
546,ponazyrevo,58.3578,46.3142,25.07,96,100,6.67,RU,1675878663
547,kabalo,-6.05,26.9167,67.98,97,97,4.09,CD,1675878663
548,falam,22.9167,93.6833,47.59,60,0,3.22,MM,1675878664
549,amarante do maranhao,-5.5667,-46.7422,85.14,61,60,6.26,BR,1675878665
550,chambar,25.2931,68.812,71.96,41,18,12.26,PK,1675878665
551,kiomboi,-4.2667,34.3667,63.28,88,99,2.86,TZ,1675878666
552,jacareacanga,-6.2222,-57.7528,81.19,89,66,3.06,BR,1675878667
553,quesnel,52.9999,-122.5029,30.7,69,100,10.36,CA,1675878532
554,steamboat springs,40.485,-106.8317,17.19,79,0,0.0,US,1675878597
555,havoysund,70.9963,24.6622,39.43,76,100,35.88,NO,1675878669
556,kavaratti,10.5669,72.642,79.75,74,61,9.22,IN,1675878670
557,agropoli,40.3469,14.9966,39.07,63,97,9.24,IT,1675878670
558,palmer,42.1584,-72.3287,48.06,50,75,11.5,US,1675878671
559,lagunas,-5.2269,-75.6753,90.3,48,89,3.96,PE,1675878671
560,puerto escondido,15.85,-97.0667,90.43,66,0,6.91,MX,1675878672
561,ixtapa,20.7,-105.2,72.63,68,0,0.0,MX,1675878509
562,tarko-sale,64.9225,77.785,3.18,95,100,20.22,RU,1675878673
563,assis,-22.6617,-50.4122,84.36,56,27,3.13,BR,1675878674
